parent_opeid,opeid,state,school_name,loc_name,addr_verif,lat,lon
100700,100700,AL,CENTRAL ALABAMA COMMUNITY COLLEGE,CENTRAL ALABAMA COMMUNITY COLLEGE - MAIN CAMPUS,"1675 Cherokee Road, Alexander City, AL 35010",32.9244453,-85.9471008
100700,100701,AL,CENTRAL ALABAMA COMMUNITY COLLEGE,CENTRAL ALABAMA COMMUNITY COLLEGE - CHILDERSBURG CAMPUS,"34091 US Highway 280, Childersburg, AL 35044",33.2607344,-86.3470626
100700,100708,AL,CENTRAL ALABAMA COMMUNITY COLLEGE,CENTRAL ALABAMA COMMUNITY COLLEGE - TALLADEGA CENTER,"1009 South Street East, Talladega, AL 35160",33.4352788,-86.0825065
100700,100710,AL,CENTRAL ALABAMA COMMUNITY COLLEGE,CENTRAL ALABAMA COMMUNITY COLLEGE - PRATTVILLE CAMPUS,"1320 Old Ridge Rd, Prattville, AL 36066",32.4996625,-86.4246622
101300,101300,AL,CALHOUN COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE - DECATUR CAMPUS,"6250 Highway 31 North, Tanner, AL 35671",34.6480472,-86.9484052
101300,101301,AL,CALHOUN COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE - HUNTSVILLE CAMPUS,"102-B Wynn Drive, Huntsville, AL 35805",34.7156193,-86.6560731
101500,101504,AL,ENTERPRISE STATE COMMUNITY COLLEGE,"ENTERPRISE STATE COMMUNITY COLLEGE - ALABAMA AVIATION COLLEGE, ANDALUSIA","21760 Bill Benton Lane, Andalusia, AL 36421",31.3045254,-86.3937034
101500,101502,AL,ENTERPRISE STATE COMMUNITY COLLEGE,"ENTERPRISE STATE COMMUNITY COLLEGE - ALABAMA AVIATION COLLEGE, OZARK","3405 South U.S. Highway 231, Ozark, AL 36361",31.4312214,-85.6231304
101500,101500,AL,ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE STATE COMMUNITY COLLEGE - MAIN CAMPUS,"600 Plaza Drive, Enterprise, AL 36331",31.3000905,-85.8361959
101700,,AL,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN STATE COMMUNITY COLLEGE - EAST BROAD CAMPUS,"1001 East Broad Street Gadsden, AL 35903",33.9996901,-85.9860257
101700,101702,AL,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN STATE COMMUNITY COLLEGE - VALLEY STREET CAMPUS,"600 Valley Street, Gadsden, AL 35901",34.0249643,-85.9957712
101700,101709,AL,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN STATE COMMUNITY COLLEGE - CHEROKEE CAMPUS,"801 Cedar Bluff Road, Centre, AL 35960",34.1646945,-85.6641877
